Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION A-A
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,None,5.5,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,,None,58,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,missing_on_drawing,,None,None,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,missing_on_drawing,,None,None,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,20,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,AMOUNT OF CORRECTION,,,None,0.22,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,,-0.075 -0.175,mm,110.834,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,,,None,DIN 9 (DIN 3962-63),,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-12) DWG NO.,,,None,759018,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,,±0.112,mm,195.75,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,,,mm,60,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,,,mm,55,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,TYPE,,,None,INVOLUTE,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,,,None,22,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,None,2.5,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,30,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,+0.158 +0.093,mm,50.552,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,mm,4.5,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF SPLINE PITCH CYLINDER,,,mm,0.1,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF GEAR PITCH CYLINDER,,,mm,0.1,,,,,,,,,,,,,,,,
02362716-cef3-460b-8431-e3ac3caabc99_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF FACES A & B,,,mm,0.1,,,,,,,,,,,,,,,,
