Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
08da8444-d4ae-4c29-994d-233687094fd2_image.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0; 0; 0; 0,view_main,SECTION B-B
08da8444-d4ae-4c29-994d-233687094fd2_image.png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0; 0; 0; 0,view_isometric,ISOMETRIC VIEW
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,mm,3.5,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,None,33,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,missing_on_drawing,mm,None,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,None,20°,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,None,22.5°,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,None,LEFT,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,None,0.5930,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,,None,5,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,,None,49.942 -0.074 / -0.118,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),,None,DIN X 7,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),,None,P50001751D,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,,None,103.0 ± 0.05,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,,None,125.016,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,,None,116.315,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),,None,138.339 -0.169 / -0.269,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,None,6.5,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,SAP,,None,122.842,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,EAP,,None,135.2,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),,None,122.381,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_20,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,,None,125.889,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,,None,DIN 5480,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,FIT,,None,SIDE FIT,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,,None,21,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,None,2.0,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,None,30°,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,None,37.603 +0.217 / +0.117,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,None,3.5,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,,mm,45.0 +0.62 / +0.25,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,,mm,41.0 +0.16 / 0.0,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE,,None,SPLINE PITCH CYLINDER,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,,None,0.070,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,,None,0.032 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",,None,0.036 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",,None,0.016 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβr),,None,0.007 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),,None,0.011 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),,None,0.013 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),,None,0.011 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),,None,0.009 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),,None,0.014 (a),,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_1,,,dim_outer_dia,,⌀136.2-0.1,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_2,,,dim_hub_dia_outer,,⌀90,⌀,None,mm,90,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_3,,,dim_hub_dia_inner,,⌀58,⌀,None,mm,58,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_4,,,dim_face_width,,15.2±0.1,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_5,,,dim_hub_height,,24.7-0.1,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_6,,,dim_bore,,⌀42 H7,⌀,H7,mm,42,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08da8444-d4ae-4c29-994d-233687094fd2_image.png,dimensions_Item_7,,,dim_entry_dia,,⌀46 (ENTRY DIA),⌀,None,mm,46,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
