Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION A-A
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_top,TOP VIEW
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,views_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_isometric,ISOMETRIC VIEW
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,views_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_detail_r,DETAIL R
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,views_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_detail_s,DETAIL S
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,views_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_enlarged_at_p,ENLARGED VIEW AT-P
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,views_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_crowning_detail,CROWNING DETAIL
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,5.5,,mm,5.5,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,58,,None,58,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,-,,None,None,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,-,,None,None,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,20°,,°,20,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,0.22,,mm,0.22,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,"110.834 -0.075
-0.175",-0.075/-0.175,mm,110.834,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,DIN 9 (DIN 3962-63),,(DIN 3962-63),DIN 9,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z=12) DWG NO.,759018,,None,759018,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,195.75±0.112,±0.112,mm,195.75,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TYPE,INVOLUTE,,None,INVOLUTE,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,22,,None,22,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,MODULE,2.5,,mm,2.5,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,30°,,°,30,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,"50.552 +0.158
+0.093",+0.158/+0.093,mm,50.552,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,4.5,,mm,4.5,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,60 (from 60X55X22 SPLINES),,mm,60,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,55 (from 60X55X22 SPLINES),,mm,55,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:-SPLINE PITCH CYLINDER RADIAL RUNOUT OF GEAR PITCH CYLINDER,0.100,,mm,0.1,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES A & B,0.100,,mm,0.1,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES C & D,0.5 MAX.,,mm,0.5,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",0.090,,mm,0.09,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""""",0.040,,mm,0.04,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,0.028,,mm,0.028,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION f_f,0.028,,mm,0.028,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,1. TEETH TO BE INDUCTION HARDENED & TEMPERED TO,53-58 HRC,,None,53-58 HRC,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T TOOTH.,2. INDUCTION HARDENING PATTERN TO BE CENTRALISED W.R.T TOOTH.,,None,None,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,UNIFORMLY NORMALISE TO,170-210 BHN,,None,170-210 BHN,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,GRAIN SIZE,5-8 ASTM,,None,5-8 ASTM,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_forging_parameters,None,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE TO BE FREE FROM BURRS,ALL SHARP CORNERS INCLUDING GEAR TEETH & SPLINE TO BE FREE FROM BURRS,,None,None,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_general_notes,None,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,tip of gear tooth (left); tip of gear tooth (right),⌀282,⌀,None,mm,282,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,outer diameter of left hub; outer diameter of right hub,⌀82,⌀,None,mm,82,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,left face of gear teeth; right face of gear teeth,54 ±0.2,None,±0.2,mm,54,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,left face of gear body; end face of left hub,14 +2/-1,None,+2/-1,mm,14,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,top edge of bore; bottom edge of bore,⌀55 +0.19/-0,⌀,+0.19/-0,mm,55,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_hub_dia_inner_78,inner step diameter of left hub; inner step diameter of right hub,⌀78,⌀,None,mm,78,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_7,,,dim_hub_dia_inner_60,inner step diameter of left hub; inner step diameter of right hub,⌀60 +0.3/-0,⌀,+0.3/-0,mm,60,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_8,,,dim_hub_dia_inner_55_minus_0,inner step diameter of left hub; inner step diameter of right hub,⌀55 -0,⌀,-0,mm,55,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_9,,,dim_hub_height_right_chamfer,right face of gear body; end of right hub chamfer,8 +1/-0,None,+1/-0,mm,8,view_detail_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_10,,,dim_chamfer_1x45,chamfer on right hub,1 X 45°,None,None,mm,1,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_11,,,dim_chamfer_2x45_both_sides,chamfer on bore entrance (both sides),2 X 45° BOTH SIDES,None,None,mm,2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_12,,,dim_bore_step_30deg,angle of bore step,30°,None,None,°,30,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_13,,,dim_bore_step_0_5,depth of bore step,0.5,None,None,mm,0.5,view_detail_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_14,,,dim_bore_step_2_ref,axial length of bore step,2 (REF),None,(REF),mm,2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_15,,,dim_overall_length_332_ref,outermost reference diameter,⌀332 ±0.1,⌀,±0.1,mm,332,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_16,,,dim_pitch_circle_dia_319,pitch circle diameter,319 P.C.D,None,None,mm,319,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_17,,,dim_root_dia_307_67,root diameter,⌀307.67,⌀,None,mm,307.67,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_18,,,dim_r20_fillet_outer,fillet radius on outer rim,R20,R,None,mm,20,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_19,,,dim_r20_fillet_inner,fillet radius on inner hub shoulder,R20,R,None,mm,20,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_20,,,dim_r20_on_pcd_180,radius on PCD 180,R20 ON PCD 180,R,None,mm,20,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_21,,,dim_holes_30_4_equispaced,diameter of 4 holes,⌀30-4 HOLES EQUISPACED ON 180 PCD,⌀,None,mm,30,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_22,,,dim_holes_5_2_on_66_pcd,diameter of 2 holes,⌀5.2-HOLES TO BE IN BETWEEN 2-SPLINES ON 66 P.C.D. WITHIN 0.1R OF TRUE POSITION.,⌀,None,mm,5.2,view_top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_23,,,dim_crowning_0_02,crowning height,"0.02 +0.025
+0.005",None,+0.025/+0.005,mm,0.02,view_crowning_detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_24,,,dim_crowning_width_45,crowning width,45,None,None,mm,45,view_crowning_detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_25,,,dim_enlarged_view_chamfer_0_4x45,chamfer on tooth tip,0.4 X 45° BOTH FLANKS,None,None,mm,0.4,view_enlarged_at_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17f834cb-63b4-48db-9126-8783f1fc610d_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
