Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_description,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION B-B
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_isometric,ISOMETRIC VIEW
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,views_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_lead_crowning_detail,LEAD CROWNING DETAIL
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,views_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_gear_tooth_edge_chamfer,GEAR TOOTH EDGE CHAMFER
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,views_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_gear_tip_chamfer,GEAR TIP CHAMFER
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,None,3.5,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,33,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,20,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,°,22.5,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,None,LEFT,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,None,0.593,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,None,5,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,None,49.942 -0.074/-0.118,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),None,DIN X 7,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),None,P50001751D,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,None,103.0 ± 0.05,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,None,125.016,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,None,116.315,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),None,138.339 -0.169/-0.269,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,None,6.5,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,SAP,None,122.842,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,EAP,None,135.2,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),None,122.381,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,None,125.889,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,None,DIN 5480,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,FIT,None,SIDE FIT,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,None,21,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,None,2.0,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,30,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,None,37.603 +0.217/+0.117,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,None,3.5,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,None,45.0 +0.62/+0.25,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,None,41.0 +0.16/0.0,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE,None,SPLINE PITCH CYLINDER,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,None,0.07,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,None,0.032 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",None,0.036 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",None,0.016 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβ),None,0.007 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH (fHB),None,0.011 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE TOTAL DEVIATION (Fβ),None,0.013 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION (fα),None,0.011 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,PROFILE ANGLE DEVIATION (fHα),None,0.009 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL PROFILE DEVIATION (Fα),None,0.014 (a),,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,None,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,CASE CARBURIZED DEPTH,mm,0.9-1.2,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,CASE HARDNESS,HRC,58-62,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,CORE HARDNESS,HRC,32-42,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_heat_treatment,None,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,SHOT BLAST,None,TO DESCALE SHOT SIZE ≤ 1MM,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,tables_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_surface_treatment,None,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_1,,,dim_outer_dia,,⌀ 136.2 -0.1,⌀,-0.1,mm,136.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_2,,,dim_hub_dia,,⌀ 90,⌀,None,mm,90.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_3,,,dim_face_width,,15.2 ±0.1,None,±0.1,mm,15.2,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_4,,,dim_hub_height,,24.7 -0.1,None,-0.1,mm,24.7,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_5,,,dim_bore,,PCD 42,PCD,None,mm,42.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_6,,,dim_pitch_circle_dia,,PCD 125.016,PCD,None,mm,125.016,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a77b689-ee2e-4090-b42d-30b8871f896a_image (6).png,dimensions_Item_7,,,dim_base_dia,,⌀ 120.417 -0.3,⌀,-0.3,mm,120.417,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
