Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_base_shapes,Quality_critical_dimensions,Quality_final_shape_description,Quality_functional_requirements,Quality_inspection_requirements,Quality_subtracted_features,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,KSJ,KSJ,S.V. ROBOTICS & AUTOMATION INDIA PVT. LTD.,sprocket,2/10/00,2/10/00,810-101-104,mechanical,KSJ,M.S.,SPROCKET (DRIVE),O,1:2,1 OF 1,"['ALL DIMENSIONS ARE IN MM', 'PERMISSIBLE DEVIATIONS FOR LINEAR DIMENSIONS (table provided)', 'A4-THIS IS A CAD DRAWING. DO NOT REVISE MANUALLY. DO NOT MAKE REPRODUCIBLE.']",,,,,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '137', 'unit': 'mm', 'tolerance': 'general_tolerance_for_137mm'}",,"{'value': '50', 'unit': 'mm', 'tolerance': 'general_tolerance_for_50mm'}","[{'feature': 'Pitch Circle Diameter (P.C.D.)', 'value': '123.3', 'unit': 'mm', 'tolerance': 'general_tolerance_for_123.3mm', 'location': 'Sprocket Data'}, {'feature': 'Outer Diameter (O.D.)', 'value': '137', 'unit': 'mm', 'tolerance': 'general_tolerance_for_137mm', 'location': 'Sprocket Data'}]",,,,,,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '35', 'unit': 'mm', 'tolerance': 'H7'}}",Central through bore,bore,"{'x': 'center', 'y': 'center', 'reference': 'part_center'}",1,H7 fit,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '39.3', 'unit': 'mm', 'tolerance': '+0.2/-0'}, 'secondary': {'value': '8.469', 'unit': 'mm', 'tolerance': 'general_tolerance_for_8.469mm'}}",Keyway in central bore,keyway,"{'x': 'centered', 'y': 'centered', 'reference': 'bore_center'}",1,"Width 39.3, Depth 8.469 from bore surface, Length 16-0.02/+0.01",1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '60', 'unit': 'mm', 'tolerance': 'general_tolerance_for_60mm'}, 'secondary': {'value': '16', 'unit': 'mm', 'tolerance': '+0.01/-0.02'}}",Central hub diameter,hub,"{'x': 'centered', 'y': 'centered', 'reference': 'part_center'}",1,Cylindrical hub,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': '83', 'unit': 'mm', 'tolerance': 'general_tolerance_for_83mm'}}",Intermediate hub diameter,hub,"{'x': 'centered', 'y': 'centered', 'reference': 'part_center'}",2,"Cylindrical hub, length derived as 9.5mm each side",1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': '108', 'unit': 'mm', 'tolerance': 'general_tolerance_for_108mm'}, 'secondary': {'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}}",Outer hub diameter,hub,"{'x': 'centered', 'y': 'centered', 'reference': 'part_center'}",2,Cylindrical hub,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': '137', 'unit': 'mm', 'tolerance': 'general_tolerance_for_137mm'}, 'secondary': {'value': '5', 'unit': 'mm', 'tolerance': 'TYP'}}",Sprocket tooth profile,teeth,"{'x': 'outer_periphery', 'y': 'central_axial_section', 'reference': 'part_center'}",10,"10 teeth, P.C.D. ⌀123.3, R18.97 (root), R41.62 (tip), 8.21 (tip width)",1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '0.5', 'unit': 'mm', 'tolerance': 'general_tolerance_for_0.5mm'}, 'secondary': {'value': '45', 'unit': '°', 'tolerance': 'general_angular_tolerance'}}",Unspecified chamfer,chamfer,all_sharp_edges,as_required,0.5x45°,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
,,,,,,,1bb4b9fa-1d22-428b-89a7-daeaebe18d28_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,"{'linear': {'0.5_to_6': '±0.1 mm', '6_to_30': '±0.2 mm', '30_to_120': '±0.3 mm', '120_to_400': '±0.5 mm', '1000_to_2000': '±1.0 mm', '2000_to_4000': '±2 mm'}, 'angular': 'unclear_text', 'standard_reference': 'ALL DIMENSIONS ARE IN MM'}","[{'feature': 'Bore Diameter', 'tolerance': 'H7', 'type': 'fit'}, {'feature': 'Central Hub Length', 'tolerance': '+0.01/-0.02', 'type': 'unilateral'}, {'feature': 'Outer Hub Length', 'tolerance': '±0.1', 'type': 'bilateral'}, {'feature': 'Keyway Width', 'tolerance': '+0.2/-0', 'type': 'unilateral'}, {'feature': 'Distances', 'tolerance': '±0.2', 'type': 'bilateral'}]"
