Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SEC A-A
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_top,TOP VIEW
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,mm,5.5,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,,None,58,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,,None,None,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,,None,None,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,20,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,,None,0.22,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,,-0.075/-0.175,mm,110.834,,,,,,,,,,,,,,,,
20bba027-d593-4258-8fa1-f58d23867af4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,,,None,DIN 9 (DIN 3962-63),,,,,,,,,,,,,,,,
