Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300; 100; 700; 500,view_main,SECTION B-B
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,None,3.5,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,33,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,mm,None,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,20,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,°,22.5,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,None,LEFT,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,None,0.593,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,None,5,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,None,"49.942⁻⁰·⁰⁷⁴, ⁻⁰·¹¹⁸",,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),None,DIN X 7,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),None,P50001751D,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,None,103.0 ± 0.05,,,,,,,,,,,,,,,,
20f7a57f-5c96-41bd-82e6-938684835e16_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,None,125.016,,,,,,,,,,,,,,,,
