Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,KSJ,KSJ,S V ROBOTICS & AUTOMATION INDIA PVT LTD.,sprocket,3/10/2003,3/10/2003,810-101-104,mechanical part,KSJ,REFER NOTE,SPROCKET (DRIVE),0,1:2,1 OF 1,"['ALL DIMENSIONS AER IN MM', 'A4-THIS IS A CAD DRAWING']",,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,
,,,,,,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '137', 'unit': 'mm', 'tolerance': None}",,"{'value': '50', 'unit': 'mm', 'tolerance': None}",[],,,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '137', 'unit': 'mm', 'tolerance': None}}",Outer diameter,diameter,"Left section view, outermost diameter",1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '108', 'unit': 'mm', 'tolerance': None}}",Intermediate diameter,diameter,Left section view,1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '83', 'unit': 'mm', 'tolerance': None}}",Intermediate diameter,diameter,Left section view,1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': '60', 'unit': 'mm', 'tolerance': None}}",Smallest shoulder diameter,diameter,Left section view,1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': '35', 'unit': 'mm', 'tolerance': 'H7'}}",Central bore diameter,bore,Left section view and Right front view,1,Fit tolerance H7,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}}",Outer flange width,width,Left section view,2,"TYP (typical, applies to both outer flanges)",2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '16', 'unit': 'mm', 'tolerance': '+0.1/-0.2'}}",Inner groove width,width,Left section view,1,,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
8,"{'primary': {'value': '8', 'unit': 'mm', 'tolerance': 'Js9'}}",Keyway width,keyway,"Right front view, central bore",1,Fit tolerance Js9,2bab6f65-4ed7-429b-b7ba-17d5ceaf39a9_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
