Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_count,features_description,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_major_diameter_dim_ids,features_minor_diameter_dim_ids,features_outer_diameter_dim_ids,features_pcd_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION A-A
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_top,TOP VIEW
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,mm,5.5,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,,None,58,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,missing_on_drawing,,None,None,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,missing_on_drawing,,None,None,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,20,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM OF CORRECTION,,,None,0.22,,,,,,,,,,,,,,,,
2dfb1c69-5a9d-4d5b-bd4b-f559965469a2_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,,-0.075 -0.175,mm,110.834,,,,,,,,,,,,,,,,
