Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_symbol,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION B-B
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_isometric,ISOMETRIC VIEW
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,views_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_lead_crowning,LEAD CROWNING DETAIL
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,views_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_tooth_chamfer,GEAR TOOTH EDGE CHAMFER
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,views_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_tip_chamfer,GEAR TIP CHAMFER
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,None,3.5,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,,,None,33,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,20,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,,°,22.5,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,,None,LEFT,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,,None,0.593,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,,,None,5,,,,,,,,,,,,,,,,
2ffa5ce3-ae82-4d09-96e0-25b0a18695ab_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,,-0.074 / -0.118,None,49.942,,,,,,,,,,,,,,,,
