Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_copyright_info,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,J. WATSON,S. HOLMES,CENTENNIAL COLLEGE - C.A.D. LAB,gear,"© 1993, 2000, '04, '07, '08 - E.BEVILACQUA",unclear_text,unclear_text,18,mechanical,U.N. OWEN,unspecified,MEGATHERIUM TRANSMISSION,unclear_text,NTS,04 OF 05,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,
,,,,,,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '4.000', 'unit': 'INCHES', 'tolerance': 'unspecified'}",,"{'value': '2.625', 'unit': 'INCHES', 'tolerance': 'unspecified'}","[{'feature': 'Overall axial length (reference)', 'value': '1.725', 'unit': 'INCHES', 'tolerance': 'unspecified', 'type': 'reference', 'location': 'Section View'}]",,,,,Overall_Dimensions,,,,,,,,
1,"{'primary': {'value': '4.000', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Outer diameter (OD) of gear teeth,diameter,Front View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
2,"{'primary': {'value': '3.500', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Pitch diameter (implied),diameter,Front View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
3,"{'primary': {'value': '2.000', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Inner hub diameter,diameter,Front View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
4,"{'primary': {'value': '1.500', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Bore diameter,diameter,Front View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
5,"{'primary': {'value': '.096', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Keyway width,keyway,"Front View, Bore",1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
6,"{'primary': {'value': '.192', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Keyway depth from center of bore,keyway,"Front View, Bore",1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
7,"{'primary': {'value': 'R.125', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Fillet radius (4 instances),radius,"Section View, internal corners",4,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
8,"{'primary': {'value': 'R.500', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Outer hub radius,radius,Front View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
9,"{'primary': {'value': 'R.380', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Inner hub radius,radius,Front View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
10,"{'primary': {'value': '.450', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Hub face thickness (left),axial dimension,Section View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
11,"{'primary': {'value': '.450', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Hub face thickness (right),axial dimension,Section View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
12,"{'primary': {'value': '.812', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Inner web thickness,axial dimension,Section View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
13,"{'primary': {'value': '.475', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Outer web thickness (bottom),axial dimension,Section View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
14,"{'primary': {'value': '.625', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Outer web thickness (top),axial dimension,Section View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
15,"{'primary': {'value': '32', 'unit': 'teeth', 'tolerance': 'unspecified'}}",Number of gear teeth,gear teeth count,Front View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
16,"{'primary': {'value': 'R2.375', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Gear tooth profile radius (outer),radius,Detail View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
17,"{'primary': {'value': 'R2.125', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Gear tooth profile radius (inner),radius,Detail View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
18,"{'primary': {'value': ""1.875'"", 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Gear tooth profile dimension,linear dimension,Detail View,1,Note: The apostrophe (') is unusual for linear dimensions in inches and typically denotes feet or minutes of arc. Interpreted as a linear dimension as shown.,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
19,"{'primary': {'value': ""3.75'"", 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Gear tooth profile dimension,linear dimension,Detail View,1,Note: The apostrophe (') is unusual for linear dimensions in inches and typically denotes feet or minutes of arc. Interpreted as a linear dimension as shown.,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
20,"{'primary': {'value': ""7.5'"", 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Gear tooth profile dimension,linear dimension,Detail View,1,Note: The apostrophe (') is unusual for linear dimensions in inches and typically denotes feet or minutes of arc. Interpreted as a linear dimension as shown.,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
21,"{'primary': {'value': ""9.375'"", 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Gear tooth profile dimension,linear dimension,Detail View,1,Note: The apostrophe (') is unusual for linear dimensions in inches and typically denotes feet or minutes of arc. Interpreted as a linear dimension as shown.,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
22,"{'primary': {'value': '.468', 'unit': 'INCHES', 'tolerance': 'unspecified'}}",Radial distance from center to gear tooth root,radial dimension,Front View,1,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
,,,,,,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,"{'linear': 'unspecified', 'angular': 'unspecified', 'standard_reference': 'unspecified'}",[]
,,,,,,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,"Implied through the center of the gear, perpendicular to the axis of rotation.","[{'feature': 'Overall axial length', 'value': '2.625', 'unit': 'INCHES', 'tolerance': 'unspecified'}, {'feature': 'Axial length (reference)', 'value': '1.725', 'unit': 'INCHES', 'tolerance': 'unspecified'}, {'feature': 'Hub face thickness (left)', 'value': '.450', 'unit': 'INCHES', 'tolerance': 'unspecified'}, {'feature': 'Hub face thickness (right)', 'value': '.450', 'unit': 'INCHES', 'tolerance': 'unspecified'}, {'feature': 'Inner web thickness', 'value': '.812', 'unit': 'INCHES', 'tolerance': 'unspecified'}, {'feature': 'Outer web thickness (bottom)', 'value': '.475', 'unit': 'INCHES', 'tolerance': 'unspecified'}, {'feature': 'Outer web thickness (top)', 'value': '.625', 'unit': 'INCHES', 'tolerance': 'unspecified'}, {'feature': 'Fillet radius (4x)', 'value': 'R.125', 'unit': 'INCHES', 'tolerance': 'unspecified'}]",unlabeled,NTS,full section,,
,,,,,,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,1,Entire drawing views,Top right of drawing area,NOTE: SOME HIDDEN LINES OMITTED FOR CLARITY,general,,,,,,,,,Manufacturing_Note,,,,,,,,
,,,,,,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,2,Keyway and gear teeth orientation,Bottom center of drawing area,NOTE THE POSITION OF KEYWAY RELATIVE TO GEAR TEETH,general,,,,,,,,,Manufacturing_Note,,,,,,,,
,,,,,,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,unspecified,unspecified,unspecified,unspecified,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,
,,,,,,,3675c85e-fbec-478a-b6e4-6a49e22f0fed_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],Quality_Requirements,,,,,,,,
