Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION B-B
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,mm,3.5,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,33,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,20,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,°,22.5,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,None,LEFT,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,None,0.593,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,None,5,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,mm,49.942 -0.074 / -0.118,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),None,DIN X 7,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),None,P50001751D,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,mm,103.0 ± 0.05,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,mm,125.016,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,mm,116.315,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),mm,138.339 -0.169 / -0.269,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,SAP,mm,122.842,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,EAP,mm,135.2,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),mm,122.381,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,mm,125.889,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,None,DIN 5480,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,FIT,None,SIDE FIT,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,None,21,,,,,,,,,,,,,,,,
398809ea-1f11-4578-9fce-aad41a300332_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,mm,2.0,,,,,,,,,,,,,,,,
