Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION B-B
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,None,3.5,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,,None,33,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,20,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,,°,22.5,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,,None,LEFT,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,,None,0.593,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,,,None,5,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,,-0.074 / -0.118,None,49.942,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),,,None,DIN X 7,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),,,None,P50001751D,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,,± 0.05,None,103.0,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,,,None,125.016,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,,,None,116.315,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),,-0.169 / -0.209,None,138.339,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,None,6.5,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,SAP,,,None,122.842,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,EAP,,,None,135.2,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),,,None,122.381,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_20,,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,,,None,125.889,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,,,None,DIN 5480,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,FIT,,,None,SIDE FIT,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,,,None,21,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,None,2.0,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,30,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,+0.217 / +0.117,None,37.603,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,None,3.5,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,,+0.62 / +0.25,mm,45.0,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,,+0.16 / 0.0,mm,41.0,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:- SPLINE PITCH CYLINDER,,,None,None,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,,,None,0.07,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CROWN,,,None,0.032,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE (Fi"")",,,None,0.036,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE (fi"")",,,None,0.016,,,,,,,,,,,,,,,,
408d45fb-5845-41cd-bf72-5305853baa64_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,TOOTH TRACE FORM DEVIATION (fβ),,,None,0.007,,,,,,,,,,,,,,,,
