Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,KSJ,KSJ,S V ROBOTICS & AUTOMATION INDIA PVT LTD.,sprocket,3/10/2003,3/10/2003,810-101-104,mechanical,KSJ,"SPROCKET: P.P./DERLINE, INSERT: M.S.",SPROCKET (DRIVE),O,1:2,1 OF 1,['ALL DIMENSIONS AER IN MM'],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,
,,,,,,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '137', 'unit': 'mm', 'tolerance': None}",,"{'value': '50', 'unit': 'mm', 'tolerance': None}",[],,,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '⌀137', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Outer diameter of sprocket,diameter,Overall,1,O.D. from Sprocket Data,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '⌀123.3', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Pitch Circle Diameter (P.C.D.),diameter,"Front view, Sprocket Data",1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '⌀108', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Hub diameter,diameter,Section view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': '⌀83', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Inner hub diameter,diameter,Section view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': '⌀60', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Bore diameter,diameter,Section view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': '⌀35', 'unit': 'mm', 'tolerance': 'H7'}, 'secondary': None}",Main bore diameter with fit,bore,Front view,1,Hole basis fit,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '⌀23', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Root diameter of sprocket teeth,diameter,Front view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
8,"{'primary': {'value': '50', 'unit': 'mm', 'tolerance': None}, 'secondary': None}",Overall axial length,length,Section view,1,,43f1bbf2-4492-4559-aacc-4fa171f3fc43_UVW_0001_page_14_png.rf.a674e5e077f0bf6682c9f47dc4139ff1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
