Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100; 100; 450; 500,view_main,SEC A-A
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450; 100; 750; 400,view_top,TOP VIEW
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,views_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800; 50; 950; 200,view_iso,ISOMETRIC VIEW
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,views_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100; 700; 300; 800,view_crowning_detail,CROWNING DETAIL
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,views_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350; 700; 500; 800,view_detail_r,DETAIL R
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,views_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550; 700; 700; 800,view_detail_s,DETAIL S
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,views_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400; 800; 600; 900,view_enlarged_p,ENLARGED VIEW AT-P
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,5.5,,,mm,5.5,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,58,,,None,58,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,-,,,deg,None,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,-,,,None,None,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,20°,,,deg,20,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,+0.22,,,None,0.22,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,110.834 -0.075 -0.175,,-0.075 -0.175,mm,110.834,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,DIN 9 (DIN 3962-63),,,(DIN 3962-63),DIN 9,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-12) DWG NO.,759018,,,None,759018,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,195.75±0.112,,±0.112,mm,195.75,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TYPE,INVOLUTE,,,None,INVOLUTE,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,22,,,None,22,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,MODULE,2.5,,,None,2.5,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,30°,,,deg,30,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,60,,,mm,60,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,55,,,mm,55,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,50.552 +0.158 +0.093,,+0.158 +0.093,mm,50.552,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,4.5,,,mm,4.5,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF SPLINE PITCH CYLINDER,0.100,,,mm,0.1,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF GEAR PITCH CYLINDER,0.100,,,mm,0.1,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES A & B,0.100,,,mm,0.1,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES C & D,0.5 MAX.,,,mm,0.5,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F_i""",0.090,,,mm,0.09,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,"PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f_i""",0.040,,,mm,0.04,,,,,,,,,,,,,,,,
4a3ede34-9227-42fe-a644-16f43673ed42_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH f_HB,0.028,,,mm,0.028,,,,,,,,,,,,,,,,
