Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_base_shapes,Quality_critical_dimensions,Quality_final_shape_description,Quality_functional_requirements,Quality_inspection_requirements,Quality_subtracted_features,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,J. WATSON,S. HOLMES,CENTENNIAL COLLEGE - C.A.D. LAB,gear,unclear_text,unclear_text,18,mechanical,U.N. OWEN,unclear_text,TRANSMISSION GEAR,unclear_text,NTS,04 OF 05,[],,,,,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '4.000', 'unit': 'inches', 'tolerance': 'unclear_text'}","{'value': 'unclear_text', 'unit': 'inches', 'tolerance': 'unclear_text'}","{'value': '2.625', 'unit': 'inches', 'tolerance': 'unclear_text'}","[{'feature': 'Distance between inner faces of hubs (reference)', 'value': '1.725', 'unit': 'inches', 'tolerance': 'unclear_text', 'location': 'section view'}]","{'value': 'unclear_text', 'unit': 'inches', 'tolerance': 'unclear_text'}",,,,,,,Overall_Dimensions,,,,,,,,
1,"{'primary': {'value': '1.500', 'unit': 'inches', 'tolerance': 'unclear_text'}}",Central through bore,bore,"{'x': 'center', 'y': 'center', 'reference': 'axial center'}",1,through hole,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
2,"{'primary': {'value': '0.192', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'width'}, 'secondary': {'value': '0.096', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'depth from bore surface'}}",Rectangular keyway in central bore,keyway,"{'x': 'center', 'y': 'center', 'reference': 'bore surface'}",1,length 0.812 inches,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
3,"{'primary': {'value': '2.000', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'diameter'}, 'secondary': {'value': '0.450', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'axial length'}}",Outer cylindrical hub,hub,each end of gear,2,unclear_text,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
4,"{'primary': {'value': '3.500', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'larger diameter'}, 'secondary': {'value': '2.000', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'smaller diameter'}, 'tertiary': {'value': '0.475', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'axial length'}}",Tapered web section,web,between hub and central web/gear body,2,unclear_text,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
5,"{'primary': {'value': '0.625', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'axial length'}}",Main gear body (face width),gear_body,"central part of gear, where teeth are",1,unclear_text,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
6,"{'primary': {'value': '0.125', 'unit': 'inches', 'tolerance': 'unclear_text', 'description': 'radius'}}",Internal fillets,fillet,4 locations: junctions of tapered web to hub and tapered web to central web,4,4x R.125,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
7,"{'outside_diameter': {'value': '4.000', 'unit': 'inches', 'tolerance': 'unclear_text'}, 'pitch_diameter': {'value': '3.500', 'unit': 'inches', 'tolerance': 'unclear_text'}, 'root_diameter': {'value': '2.000', 'unit': 'inches', 'tolerance': 'unclear_text'}, 'radius_to_tooth_tip': {'value': '2.125', 'unit': 'inches', 'tolerance': 'unclear_text'}, 'radius_to_tooth_root': {'value': '2.375', 'unit': 'inches', 'tolerance': 'unclear_text'}, 'profile_y_coordinate_1': {'value': '1.875', 'unit': 'unclear_text', 'tolerance': 'unclear_text'}, 'profile_y_coordinate_2': {'value': '3.75', 'unit': 'unclear_text', 'tolerance': 'unclear_text'}, 'profile_y_coordinate_3': {'value': '7.5', 'unit': 'unclear_text', 'tolerance': 'unclear_text'}, 'profile_y_coordinate_4': {'value': '9.375', 'unit': 'unclear_text', 'tolerance': 'unclear_text'}}",Gear tooth geometry,gear_teeth,outer circumference of gear body,32,NUMBER OF GEAR TEETH = 32,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,"{'linear': 'unclear_text', 'angular': 'unclear_text', 'standard_reference': 'unclear_text'}",[]
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,through the axial center of the gear,"[{'feature': 'Overall length', 'value': '2.625', 'unit': 'inches', 'tolerance': 'unclear_text'}, {'feature': 'Hub length', 'value': '0.450', 'unit': 'inches', 'tolerance': 'unclear_text'}, {'feature': 'Tapered web length', 'value': '0.475', 'unit': 'inches', 'tolerance': 'unclear_text'}, {'feature': 'Main gear body length (face width)', 'value': '0.625', 'unit': 'inches', 'tolerance': 'unclear_text'}, {'feature': 'Central bore length (keyway length)', 'value': '0.812', 'unit': 'inches', 'tolerance': 'unclear_text'}, {'feature': 'Distance between inner faces of hubs', 'value': '1.725', 'unit': 'inches', 'tolerance': 'unclear_text', 'type': 'reference'}, {'feature': 'Fillet radius', 'value': '0.125', 'unit': 'inches', 'tolerance': 'unclear_text', 'quantity': '4x'}]",unclear_text,NTS,full section,,
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,2,magnified view of a single gear tooth profile,"[{'feature': 'Radial distance to tooth tip', 'value': '2.125', 'unit': 'inches', 'tolerance': 'unclear_text', 'type': 'radius'}, {'feature': 'Radial distance to tooth root', 'value': '2.375', 'unit': 'inches', 'tolerance': 'unclear_text', 'type': 'radius'}, {'feature': 'Vertical coordinate on tooth profile', 'value': '1.875', 'unit': 'unclear_text', 'tolerance': 'unclear_text'}, {'feature': 'Vertical coordinate on tooth profile', 'value': '3.75', 'unit': 'unclear_text', 'tolerance': 'unclear_text'}, {'feature': 'Vertical coordinate on tooth profile', 'value': '7.5', 'unit': 'unclear_text', 'tolerance': 'unclear_text'}, {'feature': 'Vertical coordinate on tooth profile', 'value': '9.375', 'unit': 'unclear_text', 'tolerance': 'unclear_text'}]",unclear_text,NTS,detail view,,
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,1,drawing representation,top right of title block,NOTE: SOME HIDDEN LINES OMITTED FOR CLARITY,general,,,,,,,,,,,,Manufacturing_Note,,,,,,,,
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,2,keyway feature,below front view,NOTE THE POSITION OF KEYWAY RELATIVE TO GEAR TEETH,manufacturing/assembly,,,,,,,,,,,,Manufacturing_Note,,,,,,,,
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,unclear_text,unclear_text,unclear_text,unclear_text,unclear_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],[],,Quality_Requirements,,,,,,,,
,,,,,,,55d34bde-72df-47b5-b7cf-d1c9cb98c234_image (5).png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'shape_type': 'cylinder', 'description': 'Central gear body (where teeth are cut)', 'dimensions': {'outer_diameter': '4.000', 'height': '0.625'}, 'units': 'inches', 'position': 'centered axially', 'additive_or_subtractive': 'additive'}, {'shape_type': 'cylinder', 'description': 'Central web section (connecting tapered webs)', 'dimensions': {'outer_diameter': '3.500', 'height': '0.775'}, 'units': 'inches', 'position': 'centered axially, surrounding the 0.625 main gear body. (Note: Axial length 0.775 derived from 2.625 - 2*0.450 - 2*0.475. This implies the ⌀3.500 web extends beyond the 0.625 tooth face width.)', 'additive_or_subtractive': 'additive'}, {'shape_type': 'frustum_of_cone', 'description': 'Tapered web sections', 'dimensions': {'larger_diameter': '3.500', 'smaller_diameter': '2.000', 'height': '0.475'}, 'units': 'inches', 'position': 'one on each side of the central web section', 'additive_or_subtractive': 'additive'}, {'shape_type': 'cylinder', 'description': 'Hubs', 'dimensions': {'outer_diameter': '2.000', 'height': '0.450'}, 'units': 'inches', 'position': 'one on each outer side of the tapered web sections', 'additive_or_subtractive': 'additive'}]",,"The gear is formed by first creating a central cylindrical web section with an outer diameter of 3.500 inches and an axial length of 0.775 inches. On the outer circumference of the central 0.625 inch portion of this web, 32 gear teeth are cut, resulting in an overall outside diameter of 4.000 inches, a pitch diameter of 3.500 inches, and a root diameter of 2.000 inches. The tooth profile is further defined by radii R2.125 (to the tooth tip) and R2.375 (to the tooth root), and by vertical coordinates 1.875, 3.75, 7.5, and 9.375 (units unclear) from the gear's centerline. 

Attached to each axial end of this central web section is a tapered web section. Each tapered web is a frustum of a cone, transitioning from a larger diameter of 3.500 inches (at the central web) to a smaller diameter of 2.000 inches, with an axial length of 0.475 inches. 

Finally, a cylindrical hub is attached to the smaller diameter end of each tapered web. Each hub has an outer diameter of 2.000 inches and an axial length of 0.450 inches. The total overall axial length of the gear is 2.625 inches. 

A central through-bore of 1.500 inches diameter runs axially through the entire gear. A keyway, 0.192 inches wide and 0.096 inches deep (from the bore surface), is cut into the bore for an axial length of 0.812 inches, centered axially. Four internal fillets with a radius of 0.125 inches are present at the junctions where the tapered webs meet the hubs and where the tapered webs meet the central web section.",,,"[{'feature_type': 'bore', 'shape': 'cylinder', 'quantity': '1', 'dimensions': {'diameter': '1.500', 'depth': '2.625'}, 'location': 'centered axially, through entire gear', 'additive_or_subtractive': 'subtractive'}, {'feature_type': 'keyway', 'shape': 'rectangular_slot', 'quantity': '1', 'dimensions': {'width': '0.192', 'depth_from_bore_surface': '0.096', 'length': '0.812'}, 'location': 'centered axially within the ⌀1.500 bore, radially offset', 'additive_or_subtractive': 'subtractive'}, {'feature_type': 'gear_teeth_spaces', 'shape': 'involute_profile_cutouts', 'quantity': '32', 'dimensions': {'outside_diameter': '4.000', 'pitch_diameter': '3.500', 'root_diameter': '2.000', 'radius_to_tooth_tip': '2.125', 'radius_to_tooth_root': '2.375', 'profile_y_coordinate_1': '1.875', 'profile_y_coordinate_2': '3.75', 'profile_y_coordinate_3': '7.5', 'profile_y_coordinate_4': '9.375'}, 'location': 'around the circumference of the ⌀4.000 x 0.625 central gear body', 'additive_or_subtractive': 'subtractive'}, {'feature_type': 'fillets', 'shape': 'quarter_torus', 'quantity': '4', 'dimensions': {'radius': '0.125'}, 'location': 'internal corners where the ⌀2.000 hubs meet the ⌀3.500 tapered webs, and where the ⌀3.500 tapered webs meet the ⌀3.500 central web', 'additive_or_subtractive': 'subtractive'}]",geometric_decomposition,,,,,,,,
