Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION A-A
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_top,TOP VIEW
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,5.0,None,5.0,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,77,None,77,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,20°,°,20,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,0°,°,0,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,+0.22,None,0.22,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,116.83MM,MM,116.83,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE,2000,None,2000,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (2.121 DMS NO.),750019,None,750019,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,195.5MM ±0.1,MM,195.5,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,view_top,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TYPE,INVOLUTE,None,INVOLUTE,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,23,None,23,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,30°,°,30,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIA,⌀73.5,mm,73.5,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIA,⌀67.5,mm,67.5,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PITCH DIA,⌀70.0,mm,70.0,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,BASE DIA,⌀60.62,mm,60.62,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,82.53MM,MM,82.53,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,5.0 MM,MM,5.0,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,view_top,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE,SPLINE PITCH CYLINDER,None,SPLINE PITCH CYLINDER,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,RADIAL RUNOUT OF GEAR PITCH CYLINDER,0.100,None,0.1,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES A & B,0.050,None,0.05,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACES C & D,0.050,None,0.05,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE DOUBLE FLANK TOTAL ERROR RANGE F'',0.040,None,0.04,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE DOUBLE FLANK TOOTH TO TOOTH ERROR RANGE f'',0.040,None,0.04,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,PERMISSIBLE TOOTH ALIGNMENT ERROR OVER FACE WIDTH Fβ,0.020,None,0.02,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PROFILE FORM DEVIATION Fα,0.020,None,0.02,,,,,,,,,,,,,,,,
78167456-29b3-4039-bfc9-f2bc7925fefb_image2.jpeg,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_permissible_deviations,view_top,,,,,,,,,,,,,,
