Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SEC A-A
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,mm,5.0,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,34,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,mm,5.0,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIA,mm,170.0,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,DEG,20.0,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,None,R.H.,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,BASE ANGLE,DEG,17.92,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,None,+0.22,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,mm,116.893,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,None,DIN 8 (DIN 3962),,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (2.121 DMS NO.),None,150019,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,mm,195.0,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,BACKLASH,mm,0.05,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TYPE,None,INVOLUTE,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,23,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,PITCH,mm,2.5,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,DEG,30.0,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,mm,40.0,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,mm,36.0,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,ENGAGEMENT BETWEEN ZONES,None,0.50 MM,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_1,,,dim_outer_dia,,⌀192,⌀,None,mm,192.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_2,,,dim_hub_dia,,⌀97,⌀,None,mm,97.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_3,,,dim_face_width,,24,None,None,mm,24.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_4,,,dim_hub_height,,14,None,None,mm,14.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_5,,,dim_bore,,⌀40 H7,⌀,H7,mm,40.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_6,,,dim_hub_dia_inner,,⌀79,⌀,None,mm,79.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_7,,,dim_hub_extension_right,,14,None,None,mm,14.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_8,,,dim_overall_axial_length,,52,None,None,mm,52.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_9,,,dim_pcd_bolt_holes,,⌀100 P.C.D.,⌀,None,mm,100.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_10,,,dim_bolt_hole_dia,,⌀10-A HOLES EQUISPACED ON 100 PCD,⌀,A,mm,10.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_11,,,dim_chamfer_2x45,,2-45° BOTH SIDES,None,None,mm,2.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_12,,,dim_chamfer_1x45_min,,1X45° MIN,None,None,mm,1.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_13,,,dim_radius_r20_top,,R20,R,None,mm,20.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_14,,,dim_radius_r20_bottom,,R20,R,None,mm,20.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_15,,,dim_radius_r2_left,,R2,R,None,mm,2.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_16,,,dim_radius_r2_right,,R2,R,None,mm,2.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79079d12-d9a0-4379-b533-f4575edb46a5_image2.jpeg,dimensions_Item_17,,,dim_spline_pcd_note,,2-SPLINES ON 40 P.C.D.,⌀,None,mm,40.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
