Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,unclear_text,KSJ,S V ROBOTICS & AUTOMATION INDIA PVT LTD.,sprocket,3/10/2003,3/10/2003,810-101-104,mechanical,KSJ,REFER NOTE,SPROCKET (DRIVE),O,1:2,1 OF 1,"['ALL DIMENSIONS AER IN MM', 'A4-THIS IS A CAD DRAWING']",,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '137', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}",,"{'value': '50', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}","[{'feature': 'Overall Diameter (O.D.)', 'value': '137', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance', 'location': 'Sprocket Data table'}, {'feature': 'Pitch Circle Diameter (P.C.D.)', 'value': '123.3', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance', 'location': 'Sprocket Data table and front view'}]",,,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '35', 'unit': 'mm', 'tolerance': 'H7'}}",Main bore diameter,bore,Front view,1,Hole,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '8', 'unit': 'mm', 'tolerance': 'Js9'}}",Keyway width,keyway,Front view,1,Keyway,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '38.3', 'unit': 'mm', 'tolerance': '+0.2'}}",Keyway depth from center,keyway,Front view,1,Keyway,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': '108', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Stepped diameter,diameter,Section view,1,Outer diameter,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': '83', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Stepped diameter,diameter,Section view,1,Outer diameter,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': '60', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Stepped diameter,diameter,Section view,1,Outer diameter,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '7.5', 'unit': 'mm', 'tolerance': '±0.1'}}",Width of outer flange,width,Section view,2,Flange width,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
8,"{'primary': {'value': '16', 'unit': 'mm', 'tolerance': '+0.1/-0.2'}}",Width of inner flange,width,Section view,1,Flange width,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
9,"{'primary': {'value': '5', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Typical chamfer/feature width,chamfer,Section view,multiple,TYP,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
10,"{'primary': {'value': '141.62', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Outer tooth profile radius,radius,Front view,1,R,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
11,"{'primary': {'value': '18.97', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Inner tooth profile radius,radius,Front view,1,R,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
12,"{'primary': {'value': '23', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Tooth profile diameter,diameter,Front view,1,Diameter,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
13,"{'primary': {'value': '38.1', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Tooth width at base,width,Front view,1,Tooth feature,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
14,"{'primary': {'value': '8.21', 'unit': 'mm', 'tolerance': 'unspecified_general_tolerance'}}",Tooth height/depth,height,Front view,1,Tooth feature,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
,,,,,,,7ab20b83-2f5c-4ff2-8460-01629206e8f4_gear_img2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,"{'linear': 'Refer table', 'angular': 'unspecified', 'standard_reference': 'ALL DIMENSIONS AER IN MM'}","[{'feature': 'Width of outer flange', 'tolerance': '±0.1', 'type': 'bilateral'}, {'feature': 'Width of inner flange', 'tolerance': '+0.1/-0.2', 'type': 'unilateral'}, {'feature': 'Keyway depth from center', 'tolerance': '+0.2', 'type': 'unilateral'}, {'feature': 'Main bore diameter', 'tolerance': 'H7', 'type': 'fit'}, {'feature': 'Keyway width', 'tolerance': 'Js9', 'type': 'fit'}, {'feature': 'Distances (general note)', 'tolerance': '±0.2', 'type': 'bilateral'}]"
