Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION A-A
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,5.5,,,mm,5.5,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,58,,,None,58,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,60,,,mm,60,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,55,,,mm,55,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,TYPE,INVOLUTE,,,None,INVOLUTE,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,22,,,None,22,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MODULE,2.5,,,None,2.5,,,,,,,,,,,,,,,,
84e88a2c-5f60-4b21-a0c5-882fa65fc4c4_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,30°,,,°,30,,,,,,,,,,,,,,,,
