Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,IRS/BDO L22HD TP,unclear_text,KHK The Gear Company,spur gear,unclear_text,unclear_text,KHJ 203-6202D,mechanical,1:1.5,J,Spur Gear,D (implied by drawing number),"Scale: 1.15, Scale: 1:1.5, Acale N. 1.5 (multiple conflicting scales visible)",unclear_text,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,
,,,,,,,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '124', 'unit': 'mm', 'tolerance': 'unspecified'}",,"{'value': '30', 'unit': 'mm', 'tolerance': 'unspecified'}","[{'feature': 'Overall Length (from left face to rightmost face)', 'value': '30', 'unit': 'mm', 'tolerance': 'unspecified', 'location': 'front view'}, {'feature': 'Step Length 1', 'value': '10', 'unit': 'mm', 'tolerance': 'unspecified', 'location': 'front view'}, {'feature': 'Step Length 2', 'value': '10', 'unit': 'mm', 'tolerance': 'unspecified', 'location': 'front view'}, {'feature': 'Step Length 3', 'value': '5', 'unit': 'mm', 'tolerance': 'unspecified', 'location': 'front view'}]",,,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '17', 'unit': 'mm', 'tolerance': 'unspecified'}}",Central bore diameter,bore,"{'x': 'center', 'y': 'center', 'reference': 'part center'}",1,Through hole,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '20', 'unit': 'mm', 'tolerance': 'unspecified'}}",Hub bore diameter,bore,"{'x': 'center', 'y': 'center', 'reference': 'part center'}",1,Through hole,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '3', 'unit': 'mm', 'tolerance': 'unspecified', 'description': 'width'}, 'secondary': {'value': '2', 'unit': 'mm', 'tolerance': 'unspecified', 'description': 'depth from ⌀12'}}",Keyway in central bore,keyway,"{'x': 'center', 'y': 'center', 'reference': 'bore center'}",1,Keyway on ⌀12 bore,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': '8', 'unit': 'mm', 'tolerance': 'unspecified', 'description': 'diameter'}, 'secondary': {'value': '20', 'unit': 'mm', 'tolerance': 'unspecified', 'description': 'depth'}}",Hole with M5 thread callout (side view),hole,"{'x': 'unspecified', 'y': 'unspecified', 'reference': 'unspecified'}",6,"6 @ 8 220 (unclear, likely 6 holes, ⌀8, depth 20, with '220' being extraneous or a typo)",95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': 'unspecified', 'unit': 'mm', 'tolerance': 'unspecified'}}",Hole with M5 thread callout (front view),hole,"{'x': 'unspecified', 'y': 'unspecified', 'reference': 'unspecified'}",unspecified,M5,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,
,,,,,,,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,"{'linear': ""See 'Tolerance' table for ranges and values"", 'angular': 'unspecified', 'standard_reference': 'unspecified'}",[]
,,,,,,,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,1,black oxide is optionally applied,secondary-operated parts,unspecified,unspecified,unspecified,unspecified,,,,,,,,,,,,,
,,,,,,,95c1eb60-cbe0-4b22-a371-5883181c2369_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threaded_Feature,,,,,,,,,,,,,1,side face,6 (implied by '6 @ 8 220'),unspecified,20 (implied for the 6 holes),M5,,
