Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_angle_dim_ids,features_axial_dim_ids,features_depth_dim_ids,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_radial_dim_ids,features_radius_dim_ids,features_raw_text,features_role,features_source,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION B-B
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_top,None
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,views_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_isometric,ISOMETRIC VIEW
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,views_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_lead_crowning_detail,LEAD CROWNING DETAIL
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,views_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_gear_tooth_edge_chamfer,GEAR TOOTH EDGE CHAMFER
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,views_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_gear_tip_chamfer,GEAR TIP CHAMFER
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,mm,3.5,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,None,33,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,°,20,,,,,,,,,,,,,,,,
98f2ce65-70a2-45aa-b3f8-eb846dc3986e_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,°,22.5,,,,,,,,,,,,,,,,
