Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_angle,dimensions_id,dimensions_note,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_chamfer_dim_ids,features_depth_dim_ids,features_diameter_dim_ids,features_face_width_dim_ids,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_pcd_dim_ids,features_radius_dim_ids,features_role,features_table_links,features_type,metadata_title_block_date,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_revision,metadata_title_block_scale,metadata_title_block_weight_kg,notes_text,notes_type,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_id,views_name
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,view_section_bb,SECTION B-B
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,view_iso,ISOMETRIC VIEW
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,views_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,view_lead_crowning,LEAD CROWNING DETAIL
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,views_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,view_gear_tooth_chamfer,GEAR TOOTH EDGE CHAMFER
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,views_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,view_gear_tip_chamfer,GEAR TIP CHAMFER
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,mm,3.5,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,None,33,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,20,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,°,22.5,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,None,LEFT,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,None,0.5930,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,None,5,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,mm,49.942⁻⁰·⁰⁷⁴ / ⁻⁰·¹¹⁸,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),None,DIN X 7,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),None,P50001751D,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,mm,103.0±0.05,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,mm,125.016,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,mm,116.315,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),mm,138.339⁻⁰·¹⁶⁹ / ⁻⁰·²⁰⁹,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP,mm,122.842,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAP,mm,135.2,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),mm,122.381,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,mm,125.889,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,view_section_bb,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REFERENCE:- SPLINE PITCH CYLINDER,mm,0.070,,,,,,,,,,,,,,,
a30fcfa2-77eb-4231-8df2-36921d51e502_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNOUT OF FACE A & B,mm,0.070,,,,,,,,,,,,,,,
