Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_pattern_count,features_pattern_diameter_dim_ids,features_pattern_type,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_source,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION A-A
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,mm,5.5,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,,None,58,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,,None,-,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,,None,-,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,20,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,,None,0.22,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,,-0.075 -0.175,mm,110.834,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,,,None,DIN 9 (DIN 3962-63),,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-12) DWG NO.,,,None,759018,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,,±0.112,mm,195.75,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,missing_on_drawing,,mm,None,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE,,,None,INVOLUTE,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,,,None,22,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,,None,2.5,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,,°,30,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,,+0.158 +0.093,mm,50.552,,,,,,,,,,,,,,,,
a571bfb6-358b-4550-977f-aa0fc3192198_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,,mm,4.5,,,,,,,,,,,,,,,,
