Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SEC A-A
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,mm,5.5,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,58,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,mm,None,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,None,-,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,None,-,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,20,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,DISPLACEMENT OF CORRECTION,None,+0.22,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,mm,110.834 -0.075 -0.175,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,None,DIN 9 (DIN 3962-63),,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-12) DWG NO.,None,759018,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,mm,195.75 ±0.112,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,view_main,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,mm,None,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,mm,None,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,TYPE,None,INVOLUTE,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,None,22,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MODULE,mm,2.5,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,30,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,mm,50.552 +0.158 +0.093,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,mm,4.5,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,view_main,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,S.NO,None,1,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,SECTION,None,B-B,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,None,MIDDLE OF TOOTH,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,None,45-55 RC,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,mm,X = 1.4 - 7.0 (ABOVE ROOT DIA),,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,None,DIG-2,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,S.NO,None,2,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,SECTION,None,A-A & C-C,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,None,MIDDLE OF TOOTH,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,None,45-55 RC,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,mm,Y1 = 1.5 - 5.6 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,None,DIG-3,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,S.NO,None,3,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,SECTION,None,B-B,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,None,50-60 RC/OHV,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,mm,Y = 0.8 - 6.6 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,None,DIG-2,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,S.NO,None,4,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_20,,,,,,,,,,,,,,,,,,,,,,,,SECTION,None,A-A & C-C,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_21,,,,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,None,MIDDLE OF TOOTH SPACE,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_22,,,,,,,,,,,,,,,,,,,,,,,,HARDNESS,None,50-60 RC/OHV,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_23,,,,,,,,,,,,,,,,,,,,,,,,CASE DEPTH,mm,Y = 1.3 - 7.1 (BELOW ROOT DIA),,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_24,,,,,,,,,,,,,,,,,,,,,,,,REF DIAGRAM,None,DIG-3,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_hardness_case_depth,None,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,,⌀332 ±0.1,⌀,±0.1,mm,332.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_outer_dia,,⌀82,⌀,None,mm,82.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,,54 ±0.2,None,±0.2,mm,54.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_extension_length,,45 +0 -1,None,+0 -1,mm,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,,⌀55 -0 +0.19,⌀,-0 +0.19,mm,55.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_pitch_dia,,⌀307.67,⌀,None,mm,307.67,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_7,,,dim_pitch_circle_dia,,319 P.C.D,⌀,None,mm,319.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_8,,,dim_root_dia,,⌀282,⌀,None,mm,282.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1ceba7c-3999-4643-b08d-564280a90389_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_9,,,dim_hub_inner_dia,,⌀78,⌀,None,mm,78.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
