Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,metadata_weight_unit,metadata_weight_value,tables_cells_label,tables_cells_raw_text,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_error,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
b1de623a-690e-45a6-a96b-b08c279699de_image.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0; 0; 1000; 1000,view_main,SECTION A-A
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,5.5,,mm,5.5,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,58,,None,58,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,-,,None,None,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,-,,None,None,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,20°,,°,20,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM MODIFICATION COEFFICIENT,0.22,,None,0.22,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,110.834 -0.075 -0.175,-0.075 -0.175,mm,110.834,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,DIN 9 (DIN 3962-63),,(DIN 3962-63),DIN 9,,,,,,,,,,,,,
b1de623a-690e-45a6-a96b-b08c279699de_image.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-12) DWG NO.,759018,,None,759018,,,,,,,,,,,,,
