Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_raw_text,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SEC A-A
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_top,TOP VIEW
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,5.5,,None,5.5,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,58,,None,58,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,-,,None,None,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,-,,None,None,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,20°,,°,20,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,+0.22,,None,0.22,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,110.834 -0.075 / -0.175,-0.075 / -0.175,None,110.834,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,DIN 9 (DIN 3962-63),,(DIN 3962-63),DIN 9,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-12) DWG NO.,759018,,None,759018,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,195.75±0.112,±0.112,None,195.75,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TYPE,INVOLUTE,,None,INVOLUTE,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO. OFF TEETH,22,,None,22,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,MODULE,2.5,,None,2.5,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,30°,,°,30,,,,,,,,,,,,,,,,
cb627d30-fa67-42cc-8226-ee23dcd6b7cd_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT BETWEEN PINS,50.552 +0.158 / +0.093,+0.158 / +0.093,None,50.552,,,,,,,,,,,,,,,,
