Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,İsmailoğlu,SZ.Senel,unspecified,gear,25-4-1984,25-4-1984,VR-386,mechanical,Gülsuyu,17CrNiMo6,IV Kademe Dişli Çark.,unspecified (revision table empty),1:1,1 / 1,['Tolerans konulmamış boyutlar için Q20'],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '216.5', 'unit': 'mm', 'tolerance': 'h9 (0.000/-0.115)'}",,"{'value': '55', 'unit': 'mm', 'tolerance': '+0.15/-0'}","[{'feature': 'Gear Face Width', 'value': '53', 'unit': 'mm', 'tolerance': 'unspecified', 'location': 'Main Section View'}]",,,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '55', 'unit': 'mm', 'tolerance': 'H7 (+0.030/-0.000)'}, 'secondary': None}",Central bore,bore,"{'x': 'center', 'y': 'center', 'reference': 'part center'}",1,Through bore,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '16', 'unit': 'mm', 'tolerance': '-0.006'}, 'secondary': {'value': '9', 'unit': 'mm', 'tolerance': 'unspecified'}}",Keyway in bore,keyway,"{'x': 'offset from center', 'y': 'offset from center', 'reference': 'bore center'}",1,"Width 16mm, Depth 9mm from bore surface",d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
3,"{'primary': {'value': '2', 'unit': 'mm', 'tolerance': 'unspecified'}, 'secondary': {'value': '45', 'unit': 'degrees', 'tolerance': ""±15'""}}",Outer chamfer,chamfer,Outer edge of gear face,1,2x45°,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': 'R3', 'unit': 'mm', 'tolerance': 'unspecified'}, 'secondary': None}",Internal fillet,fillet,Junction of ⌀85 and ⌀194 diameters,1,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': 'R', 'unit': 'mm', 'tolerance': 'unspecified'}, 'secondary': None}",Internal fillet,fillet,Junction of ⌀85 and ⌀216.5 diameters,1,Radius R (value not specified),d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': '85', 'unit': 'mm', 'tolerance': 'unspecified'}, 'secondary': None}",Hub diameter,diameter,Main Section View,1,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '194', 'unit': 'mm', 'tolerance': 'unspecified'}, 'secondary': None}",Shoulder diameter,diameter,Main Section View,1,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
8,"{'primary': {'value': '210', 'unit': 'mm', 'tolerance': 'unspecified'}, 'secondary': None}",Pitch circle diameter (Taksimat dairesi çapı),diameter,Gear Cutting Values Table,1,,d630e3c2-3909-4b74-a512-3a8446ba82da_gear1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,
