Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION A-A
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,mm,5.5,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,58,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,mm,None,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MAJOR DIAMETER,mm,60,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,MINOR DIAMETER,mm,55,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,tables_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_spline_data,None,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_1,,,dim_outer_dia,,⌀282,⌀,None,mm,282.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_2,,,dim_hub_dia,,⌀82,⌀,None,mm,82.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_3,,,dim_face_width,,54 ±0.2,None,±0.2,mm,54.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_4,,,dim_hub_height,,45 +0/-1,None,+0/-1,mm,45.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_5,,,dim_bore,,⌀55 +0.19/-0,⌀,+0.19/-0,mm,55.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,dimensions_Item_6,,,dim_spline_major_dia,,⌀60 +0.3/-0,⌀,+0.3/-0,mm,60.0,view_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,features_Item_1,,,,,,,,,,,,dim_face_width,,feat_rim,,dim_outer_dia,gear_tip,tbl_gear_data,cylindrical_rim,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,features_Item_2,,,,,,,,,,,dim_hub_dia,,,feat_hub,dim_hub_height,,hub_outer,,cylindrical_step,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,features_Item_3,,,,,,,,,,,dim_bore,,None,feat_bore_main,,,through_bore,,cylindrical_bore,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,features_Item_4,,,,,,,,,,,,,,feat_spline,,,spline_bore,tbl_spline_data,internal_spline,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_1,feat_rim,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_2,feat_hub,revolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_3,feat_bore_main,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,assembly_order_Item_4,feat_spline,subtract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fa4f96-749b-4d78-a6e1-ac372d431e89_P10019486AS001 (Induction Hardening)_p0.png,General,,,,,,,,,,,,,,,,,,,,P10019486A,EN43D; BS970,BULL GEAR,1:2,,,,,,PNG,6615,61883325,9355,774,2335,3109,1327,gemini_api_with_estimation_fallback,4436,mm,,,
