Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,M PERKINS,M PERKINS,QUANTEL USA,Retainer,3/21/2013,5/3/2013,00255703,mechanical,T TEMPERO,6061-T6 AL,"RETAINER, OUTPUT, DICHROIC, Q-SMART 100",2,1:1,1 OF 1,[],,,,,,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'value': '1.918', 'unit': 'inch', 'tolerance': 'unspecified_general'}","[{'feature': 'Overall Thickness', 'value': '0.255', 'unit': 'inch', 'tolerance': 'unspecified_general', 'location': 'Right side view'}, {'feature': 'Corner Radius', 'value': 'R.445', 'unit': 'inch', 'tolerance': 'unspecified_general', 'quantity': '4X', 'location': 'Top view'}]","{'value': '1.665', 'unit': 'inch', 'tolerance': 'unspecified_general'}",,,,Overall_Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"{'primary': {'value': '⌀.130', 'unit': 'inch', 'tolerance': 'unspecified_general'}}",Through hole,hole,,4,THRU,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"{'primary': {'value': '⌀.460', 'unit': 'inch', 'tolerance': 'unspecified_general'}}",Through hole,hole,,2,THRU,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,{'primary': None},Center threaded hole,hole,,1,8-32 UNC THRU ALL,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"{'primary': {'value': '0.445', 'unit': 'inch', 'tolerance': 'unspecified_general'}, 'secondary': None}",Central slot/groove width,slot/groove,"Top view, horizontal",1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"{'primary': {'value': '1.027', 'unit': 'inch', 'tolerance': 'unspecified_general'}, 'secondary': None}",Central slot/groove length,slot/groove,"Top view, horizontal",1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"{'primary': {'value': '0.970', 'unit': 'inch', 'tolerance': 'unspecified_general'}}",Vertical distance between center of top and bottom large holes,hole pattern,"Top view, vertical",1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"{'primary': {'value': '0.333', 'unit': 'inch', 'tolerance': 'unspecified_general'}}",Vertical distance from bottom edge to center of bottom large holes,hole pattern,"Top view, vertical",1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"{'primary': {'value': '0.826', 'unit': 'inch', 'tolerance': 'unspecified_general'}}",Internal step/feature depth,internal feature,Section A-A,1,,d8c82de7-b1f9-421f-ad59-0700e5fabb6c_Pi7_Tool_image 1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
