Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_raw_text,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_error,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION A-A
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_crowning_detail,CROWNING DETAIL
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,views_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_detail_s,DETAIL S
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,views_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_detail_r,DETAIL R
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,views_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_enlarged_p,ENLARGED VIEW AT-P
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,mm,5.5,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,None,58,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,None,None,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,None,None,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,°,20,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,None,0.22,,,,,,,,,,,,,
ef21f4a2-782b-44aa-af2f-96f5fac21abf_P10019486AS001 (Induction Hardening)_p0.png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,-0.075 -0.175,mm,110.834,,,,,,,,,,,,,
