Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SEC A-A
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,MODULE,mm,3.5,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,54,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,°,20,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,ADDENDUM,mm,3.5,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,DEDENDUM,mm,4.375,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,TIP DIA,mm,196,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,ROOT DIA,mm,183.25,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,PITCH DIA,mm,189,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,BASE DIA,mm,177.6,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,°,0,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,None,RIGHT,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,None,0.22,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASUREMENT OVER 7 TEETH,mm,71.839,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE,None,DIN 8 (DIN 3962-63),,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (2.121.005 NO.),None,75019,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,CENTRE DISTANCE,mm,195.56,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,TYPE,None,INVOLUTE,,,,,,,,,,,,,,,,
f460115e-2917-4d27-be98-db90ce7fd8f9_image2.jpeg,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,None,23,,,,,,,,,,,,,,,,
