Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_size,Meta_standards_referenced,Meta_weight,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Tol_general_tolerances,Tol_specific_tolerances
,,,,,,,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,Instructor,unclear_text,J=DOGG ROCKSTAR COR.,Spur Gear,2/7/2012,01/24/12,1,mechanical,Jonas Bonnett,,Spur Gear,A,1:1,SHEET 1 OF 1,A,[],0.607 lbs,,,,,,,,,Drawing_Metadata,,,,,,,,,,,,,
,,,,,,,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,"{'value': '3.1', 'unit': 'inches', 'tolerance': None}",,,"[{'feature': 'Overall Thickness', 'value': '0.875', 'unit': 'inches', 'tolerance': None, 'location': 'Section A-A'}]",,,,,Overall_Dimensions,,,,,,,,,,,,,
1,"{'primary': {'value': '0.49', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Central bore diameter,hole,Center of part (Section A-A),1,Diameter,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
2,"{'primary': {'value': '0.95', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Hub diameter,cylindrical feature,"Central, extends from main body (Front View & Section A-A)",1,Diameter,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
3,"{'primary': {'value': '2.89', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Main body diameter (larger than hub),cylindrical feature,Section A-A,1,Diameter,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
4,"{'primary': {'value': '2.07', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Gear root diameter,gear teeth,Front view,1,Root diameter,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
5,"{'primary': {'value': '0.18', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Outer rim thickness,thickness,Section A-A,1,Thickness,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
6,"{'primary': {'value': '0.13', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Inner rim thickness,thickness,Section A-A,1,Thickness,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
7,"{'primary': {'value': '0.50', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Combined outer and inner rim thickness,thickness,Section A-A,1,Thickness,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
8,"{'primary': {'value': '0.38', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Hub flange thickness,thickness,Section A-A,1,Thickness,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
9,"{'primary': {'value': '0.125', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Small diameter feature in section,hole/feature,"Section A-A, near ⌀2.89 diameter",1,Diameter,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
10,"{'primary': {'value': '0.16', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Main body central thickness,thickness,Section A-A,1,Thickness,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
11,"{'primary': {'value': '0.46', 'unit': 'inches', 'tolerance': None}, 'secondary': None}",Distance from face to first step,step,Section A-A,1,Linear dimension,f91cbad9-aa0f-41bd-a5fa-93c41190b8ab_spur-gear-drawing-24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,
