Filename,Record_Type,assembly_order_feature_id,assembly_order_op,dimensions_id,dimensions_leaders,dimensions_raw_text,dimensions_source,dimensions_symbol,dimensions_tolerance,dimensions_unit,dimensions_value,dimensions_view_id,features_diameter_dim_ids,features_face_width_dim_ids,features_fit_class,features_id,features_length_dim_ids,features_outer_diameter_dim_ids,features_role,features_source,features_table_links,features_type,metadata_title_block_drawing_no,metadata_title_block_material,metadata_title_block_part_name,metadata_title_block_scale,tables_cells_label,tables_cells_tolerance,tables_cells_unit,tables_cells_value,tables_id,tables_view_id,token_usage_image_dimensions_format,token_usage_image_dimensions_height,token_usage_image_dimensions_total_pixels,token_usage_image_dimensions_width,token_usage_input_tokens_image_tokens,token_usage_input_tokens_prompt_tokens,token_usage_input_tokens_total_input_tokens,token_usage_output_tokens,token_usage_token_counting_method,token_usage_total_tokens,units,views_bbox,views_id,views_name
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,views_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_main,SECTION B-B
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,views_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_iso,ISOMETRIC VIEW
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,views_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_lead_crowning,LEAD CROWNING DETAIL
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,views_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_gear_tooth_chamfer,GEAR TOOTH EDGE CHAMFER
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,views_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,view_gear_tip_chamfer,GEAR TIP CHAMFER
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,None,3.5,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,NO OF TEETH,,None,33,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,PRESSURE ANGLE,,None,20°,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,HELIX ANGLE,,None,22.5°,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_5,,,,,,,,,,,,,,,,,,,,,,,,,,DIRECTION OF HELIX,,None,LEFT,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_6,,,,,,,,,,,,,,,,,,,,,,,,,,COEFFICIENT OF CORRECTION,,None,0.5930,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_7,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT OVER TEETH,,None,5,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_8,,,,,,,,,,,,,,,,,,,,,,,,,,SPAN MEASURMENT,"-0.074
-0.118",None,49.942,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_9,,,,,,,,,,,,,,,,,,,,,,,,,,QUALITY OF TOLERANCE ZONE (DIN 3962-63),,None,DIN X 7,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_10,,,,,,,,,,,,,,,,,,,,,,,,,,MESHES WITH GEAR (Z-21),,None,P50001751D,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_11,,,,,,,,,,,,,,,,,,,,,,,,,,CENTER DISTANCE,± 0.05,mm,103.0,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_12,,,,,,,,,,,,,,,,,,,,,,,,,,PITCH CIRCLE DIAMETER,,mm,125.016,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_13,,,,,,,,,,,,,,,,,,,,,,,,,,BASE DIAMETER,,mm,116.315,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_14,,,,,,,,,,,,,,,,,,,,,,,,,,MEASUREMENT OVER PINS (ALTERNATE),"-0.169
-0.269",mm,138.339,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_15,,,,,,,,,,,,,,,,,,,,,,,,,,PIN DIAMETER,,mm,6.5,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_16,,,,,,,,,,,,,,,,,,,,,,,,,,SAP,,mm,122.842,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_17,,,,,,,,,,,,,,,,,,,,,,,,,,EAP,,mm,135.2,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_18,,,,,,,,,,,,,,,,,,,,,,,,,,MAX. TRUE INVOLUTE FORM DIA.(TIF),,mm,122.381,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_19,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATING PCD,,mm,125.889,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbl_gear_data,None,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_1,,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,,None,DIN 5480,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_2,,,,,,,,,,,,,,,,,,,,,,,,,,FIT,,None,SIDE FIT,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_3,,,,,,,,,,,,,,,,,,,,,,,,,,NO. OF TEETH,,None,21,,,,,,,,,,,,,,,,
fdea6611-bb06-44ec-a33f-0e1704642854_image (6).png,tables_cells_Item_4,,,,,,,,,,,,,,,,,,,,,,,,,,MODULE,,None,2.0,,,,,,,,,,,,,,,,
